Surface_Code,Court_Code,Series_Code,Round_Code,Best of,Rank_1,Rank_2,Rank_Diff
3,0,0,1,3,45,58,13
1,0,6,6,3,4,7,3
3,0,6,2,3,57,45,-12
3,1,3,1,3,75,9,-66
3,0,5,2,3,22,35,13
3,0,2,0,5,41,40,-1
3,0,1,1,3,14,39,25
3,0,1,1,3,59,19,-40
3,0,6,0,3,9,34,25
1,0,0,0,3,212,57,-155
3,0,6,0,3,77,58,-19
3,1,3,1,3,97,131,34
3,1,6,1,3,1,34,33
3,0,1,1,3,15,123,108
2,0,0,4,3,67,11,-56
3,1,1,0,3,133,171,38
2,0,0,0,3,146,116,-30
1,0,0,0,3,50,88,38
3,1,1,0,3,22,16,-6
3,1,1,0,3,49,17,-32
3,0,5,3,3,2,17,15
3,0,2,0,5,121,52,-69
3,0,2,0,5,105,155,50
2,0,0,0,3,52,76,24
3,0,2,1,5,168,6,-162
1,0,3,4,3,57,107,50
3,1,0,0,3,304,34,-270
1,0,1,4,3,104,7,-97
1,0,3,0,3,141,86,-55
3,0,0,0,3,232,117,-115
3,0,0,4,3,24,29,5
3,0,6,1,3,420,7,-413
3,1,6,6,3,14,2,-12
1,0,0,0,3,17,65,48
1,0,3,0,3,494,107,-387
1,0,3,0,3,49,99,50
1,0,4,0,3,178,1008,830
1,0,0,4,3,40,24,-16
3,0,2,1,5,29,139,110
1,0,5,0,3,115,20,-95
3,0,1,7,3,123,7,-116
1,0,2,0,5,34,73,39
3,1,0,0,3,115,65,-50
3,0,0,0,3,83,31,-52
1,0,0,4,3,103,89,-14
3,1,0,0,3,93,43,-50
2,0,2,1,5,142,160,18
3,1,1,1,3,47,8,-39
3,0,6,0,3,56,37,-19
1,0,3,0,3,163,108,-55
1,0,1,0,3,46,207,161
3,1,0,0,3,32,92,60
3,0,0,0,3,316,126,-190
3,1,0,0,3,38,318,280
1,0,2,2,5,1,227,226
3,1,0,4,3,213,26,-187
1,0,4,1,3,131,18,-113
3,0,1,0,3,38,88,50
3,1,1,1,3,22,69,47
3,0,2,0,5,22,81,59
3,0,3,0,3,66,64,-2
3,0,1,0,3,63,82,19
1,0,0,0,3,82,107,25
2,0,0,7,3,33,26,-7
3,0,1,0,3,10,43,33
1,0,0,0,3,862,54,-808
1,0,0,1,3,25,309,284
1,0,2,0,5,81,64,-17
1,0,0,0,3,280,89,-191
1,0,3,0,3,66,3,-63
3,0,3,1,3,67,102,35
3,0,1,0,3,257,20,-237
3,0,3,1,3,27,85,58
1,0,3,4,3,52,61,9
1,0,0,0,3,32,61,29
3,0,6,0,3,33,32,-1
3,0,0,1,3,14,91,77
1,0,3,1,3,25,144,119
3,0,4,2,3,116,6,-110
3,1,0,0,3,76,105,29
1,0,0,4,3,88,66,-22
1,1,0,1,3,142,149,7
3,0,0,1,3,46,29,-17
2,0,2,0,5,45,107,62
3,0,0,1,3,117,6,-111
3,0,6,0,3,92,93,1
3,0,5,1,3,25,104,79
1,0,6,1,3,73,10,-63
3,0,1,1,3,42,34,-8
1,0,0,1,3,212,39,-173
3,0,3,0,3,162,28,-134
3,0,4,0,3,96,114,18
1,0,3,1,3,85,145,60
3,0,4,0,3,36,50,14
3,1,0,0,3,91,69,-22
2,0,2,1,5,82,37,-45
2,0,1,1,3,13,553,540
3,0,2,2,5,38,6,-32
1,0,5,1,3,53,14,-39
3,0,3,6,3,5,59,54
3,0,3,1,3,38,55,17
3,0,6,2,3,23,11,-12
1,0,6,0,3,38,81,43
1,0,3,4,3,68,7,-61
0,1,3,4,3,106,25,-81
1,0,0,1,3,144,136,-8
3,0,2,0,5,83,31,-52
